('15:48:02.962683', b'>\r\n', 'sent:1-15:48:02.856780*')
('15:48:02.987054', b'>\r\n', 'sent:1-15:48:02.962683*')
('15:48:03.011455', b'>\r\n', 'sent:1-15:48:02.987054*')
('15:48:03.139311', b'D2-15:48:03.029051************\r\n', '')
('15:48:03.155933', b'>\r\n', 'sent:1-15:48:03.139311*')
('15:48:03.184210', b'>\r\n', 'sent:1-15:48:03.155933*')
('15:48:03.269176', b'D2-15:48:03.191041************\r\n', '')
('15:48:03.273075', b'>\r\n', 'sent:1-15:48:03.270119*')
('15:48:03.297448', b'>\r\n', 'sent:1-15:48:03.273075*')
('15:48:03.320871', b'>\r\n', 'sent:1-15:48:03.297448*')
('15:48:03.344296', b'>\r\n', 'sent:1-15:48:03.320871*')
('15:48:03.368696', b'>\r\n', 'sent:1-15:48:03.344296*')
('15:48:03.391144', b'>\r\n', 'sent:1-15:48:03.368696*')
('15:48:03.479960', b'D2-15:48:03.419447************\r\n', '')
('15:48:03.484842', b'>\r\n', 'sent:1-15:48:03.479960*')
('15:48:03.510217', b'>\r\n', 'sent:1-15:48:03.484842*')
('15:48:03.535596', b'>\r\n', 'sent:1-15:48:03.510217*')
('15:48:03.560969', b'>\r\n', 'sent:1-15:48:03.535596*')
('15:48:03.584393', b'>\r\n', 'sent:1-15:48:03.560969*')
('15:48:03.608794', b'>\r\n', 'sent:1-15:48:03.584393*')
('15:48:03.695657', b'D2-15:48:03.624410************\r\n', '')
('15:48:03.704442', b'>\r\n', 'sent:1-15:48:03.695657*')
('15:48:03.833844', b'D2-15:48:03.702490************\r\n', '')
('15:48:03.850435', b'D2-15:48:03.727866************\r\n', '')
('15:48:03.910947', b'D2-15:48:03.859219************\r\n', '')
('15:48:03.917779', b'>\r\n', 'sent:1-15:48:03.910947*')
('15:48:03.942180', b'>\r\n', 'sent:1-15:48:03.917779*')
('15:48:03.966584', b'>\r\n', 'sent:1-15:48:03.942180*')
('15:48:03.990065', b'>\r\n', 'sent:1-15:48:03.966584*')
('15:48:04.135549', b'>\r\n', 'sent:1-15:48:03.990065*')
('15:48:04.158996', b'>\r\n', 'sent:1-15:48:04.135549*')
('15:48:04.184148', b'>\r\n', 'sent:1-15:48:04.158996*')
('15:48:04.208547', b'>\r\n', 'sent:1-15:48:04.184148*')
('15:48:04.294444', b'D2-15:48:04.250516************\r\n', '')
('15:48:04.403748', b'D2-15:48:04.274943************\r\n', '')
('15:48:04.415461', b'>\r\n', 'sent:1-15:48:04.403748*')
('15:48:04.501350', b'D2-15:48:04.450599************\r\n', '')
('15:48:04.505254', b'>\r\n', 'sent:1-15:48:04.501350*')
('15:48:04.589192', b'>\r\n', 'sent:1-15:48:04.505254*')
('15:48:04.616518', b'>\r\n', 'sent:1-15:48:04.589192*')
('15:48:04.639943', b'>\r\n', 'sent:1-15:48:04.616518*')
('15:48:04.667271', b'>\r\n', 'sent:1-15:48:04.639943*')
('15:48:04.690696', b'>\r\n', 'sent:1-15:48:04.667271*')
