('11:15:22.375153', b'D1-299************************\trssi:-35\r\n', '')
('11:15:22.375153', b'D1-300************************\trssi:-35\r\n', '')
('11:15:22.375153', b'D1-301************************\trssi:-35\r\n', '')
('11:15:22.375153', b's-dur: 61463\r\n', '')
('11:15:22.578232', b'S\r\n', '')
('11:15:22.640717', b'D1-313************************\trssi:-36\r\n', '')
('11:15:22.640717', b'D1-314************************\trssi:-36\r\n', '')
('11:15:22.656347', b'D1-315************************\trssi:-36\r\n', '')
('11:15:22.656347', b's-dur: 61567\r\n', '')
('11:15:22.734447', b'S\r\n', '')
('11:15:22.796932', b'D1-323************************\trssi:-35\r\n', '')
('11:15:22.796932', b'D1-321************************\trssi:-36\r\n', '')
('11:15:22.796932', b'D1-322************************\trssi:-36\r\n', '')
('11:15:22.796932', b's-dur: 61561\r\n', '')
('11:15:22.828207', b'S\r\n', '')
('11:15:22.890681', b'D1-325************************\trssi:-36\r\n', '')
('11:15:22.890681', b'D1-326************************\trssi:-36\r\n', '')
('11:15:22.890681', b'D1-327************************\trssi:-36\r\n', '')
('11:15:22.890681', b's-dur: 61563\r\n', '')
('11:15:22.921904', b'S\r\n', '')
('11:15:22.984388', b'D1-330************************\trssi:-36\r\n', '')
('11:15:22.984388', b'D1-331************************\trssi:-36\r\n', '')
('11:15:22.984388', b'D1-332************************\trssi:-36\r\n', '')
('11:15:22.984388', b's-dur: 61437\r\n', '')
('11:15:23.000041', b'S\r\n', '')
('11:15:23.078129', b'D1-334************************\trssi:-36\r\n', '')
('11:15:23.078129', b'D1-335************************\trssi:-36\r\n', '')
('11:15:23.078129', b'D1-336************************\trssi:-36\r\n', '')
('11:15:23.078129', b's-dur: 61403\r\n', '')
('11:15:23.078129', b'S\r\n', '')
('11:15:23.140639', b'D1-338************************\trssi:-36\r\n', '')
('11:15:23.140639', b'D1-339************************\trssi:-36\r\n', '')
('11:15:23.140639', b's-dur: 61506\r\n', '')
('11:15:23.218742', b'S\r\n', '')
('11:15:23.281195', b'D1-345************************\trssi:-35\r\n', '')
('11:15:23.281195', b'D1-347************************\trssi:-35\r\n', '')
('11:15:23.296838', b'D1-346************************\trssi:-36\r\n', '')
('11:15:23.296838', b's-dur: 61460\r\n', '')
('11:15:23.312465', b'S\r\n', '')
('11:15:23.374952', b'D1-350************************\trssi:-36\r\n', '')
('11:15:23.374952', b'D1-351************************\trssi:-36\r\n', '')
('11:15:23.390577', b'D1-352************************\trssi:-36\r\n', '')
('11:15:23.390577', b's-dur: 61459\r\n', '')
('11:15:23.406198', b'S\r\n', '')
('11:15:23.468684', b'D1-354************************\trssi:-36\r\n', '')
('11:15:23.468684', b'D1-355************************\trssi:-36\r\n', '')
('11:15:23.468684', b'D1-356************************\trssi:-37\r\n', '')
('11:15:23.484310', b's-dur: 61421\r\n', '')
('11:15:23.499929', b'S\r\n', '')
('11:15:23.562381', b'D1-359************************\trssi:-36\r\n', '')
('11:15:23.562381', b'D1-361************************\trssi:-36\r\n', '')
('11:15:23.562381', b'D1-360************************\trssi:-37\r\n', '')
('11:15:23.562381', b's-dur: 61435\r\n', '')
('11:15:23.624897', b'S\r\n', '')
('11:15:23.687373', b'D1-365************************\trssi:-36\r\n', '')
('11:15:23.687373', b'D1-366************************\trssi:-36\r\n', '')
('11:15:23.687373', b'D1-367************************\trssi:-37\r\n', '')
('11:15:23.687373', b's-dur: 61443\r\n', '')
('11:15:24.032536', b'S\r\n', '')
('11:15:24.110640', b'D1-387************************\trssi:-36\r\n', '')
('11:15:24.110640', b'D1-386************************\trssi:-37\r\n', '')
('11:15:24.110640', b'D1-388************************\trssi:-37\r\n', '')
('11:15:24.110640', b's-dur: 61583\r\n', '')
('11:15:24.126231', b'S\r\n', '')
('11:15:24.188717', b'D1-391************************\trssi:-36\r\n', '')
('11:15:24.204370', b'D1-393************************\trssi:-36\r\n', '')
('11:15:24.204370', b'D1-392************************\trssi:-37\r\n', '')
('11:15:24.204370', b's-dur: 61436\r\n', '')
('11:15:24.219986', b'S\r\n', '')
('11:15:24.282445', b'D1-395************************\trssi:-36\r\n', '')
('11:15:24.298070', b'D1-396************************\trssi:-36\r\n', '')
('11:15:24.298070', b'D1-397************************\trssi:-36\r\n', '')
('11:15:24.298070', b's-dur: 61444\r\n', '')
('11:15:24.298070', b'S\r\n', '')
('11:15:24.344963', b'D1-399************************\trssi:-37\r\n', '')
('11:15:24.360552', b'D1-400************************\trssi:-37\r\n', '')
('11:15:24.360552', b'D1-398************************\trssi:-38\r\n', '')
('11:15:24.360552', b's-dur: 61667\r\n', '')
('11:15:24.360552', b'S\r\n', '')
('11:15:24.407448', b'D1-403************************\trssi:-37\r\n', '')
('11:15:24.423078', b'D1-402************************\trssi:-38\r\n', '')
('11:15:24.423078', b's-dur: 61540\r\n', '')
('11:15:24.438657', b'S\r\n', '')
('11:15:24.501143', b'D1-406************************\trssi:-37\r\n', '')
('11:15:24.501143', b'D1-407************************\trssi:-37\r\n', '')
('11:15:24.516765', b'D1-408************************\trssi:-37\r\n', '')
('11:15:24.516765', b's-dur: 61427\r\n', '')
('11:15:24.516765', b'S\r\n', '')
('11:15:24.563630', b'D1-411************************\trssi:-36\r\n', '')
('11:15:24.563630', b'D1-409************************\trssi:-37\r\n', '')
('11:15:24.579252', b'D1-410************************\trssi:-37\r\n', '')
('11:15:24.579252', b's-dur: 61681\r\n', '')
('11:15:24.626136', b'S\r\n', '')
('11:15:24.688633', b'D1-415************************\trssi:-38\r\n', '')
('11:15:24.688633', b'D1-417************************\trssi:-38\r\n', '')
('11:15:24.688633', b'D1-416************************\trssi:-39\r\n', '')
('11:15:24.688633', b's-dur: 61443\r\n', '')
('11:15:24.797971', b'S\r\n', '')
('11:15:24.876058', b'D1-426************************\trssi:-37\r\n', '')
('11:15:24.876058', b'D1-424************************\trssi:-38\r\n', '')
('11:15:24.876058', b'D1-425************************\trssi:-38\r\n', '')
('11:15:24.876058', b's-dur: 61557\r\n', '')
('11:15:24.922945', b'S\r\n', '')
('11:15:24.985439', b'D1-432************************\trssi:-36\r\n', '')
('11:15:25.001029', b'D1-430************************\trssi:-37\r\n', '')
('11:15:25.001029', b'D1-431************************\trssi:-37\r\n', '')
('11:15:25.001029', b's-dur: 61552\r\n', '')
('11:15:25.110409', b'S\r\n', '')
('11:15:25.172865', b'D1-440************************\trssi:-37\r\n', '')
('11:15:25.172865', b'D1-441************************\trssi:-37\r\n', '')
('11:15:25.172865', b's-dur: 61438\r\n', '')
('11:15:25.235371', b'S\r\n', '')
('11:15:25.297867', b'D1-446************************\trssi:-36\r\n', '')
('11:15:25.297867', b'D1-447************************\trssi:-37\r\n', '')
('11:15:25.297867', b'D1-448************************\trssi:-37\r\n', '')
('11:15:25.297867', b's-dur: 61559\r\n', '')
('11:15:25.563398', b'S\r\n', '')
('11:15:25.625884', b'D1-462************************\trssi:-37\r\n', '')
('11:15:25.625884', b'D1-463************************\trssi:-37\r\n', '')
('11:15:25.641527', b'D1-464************************\trssi:-37\r\n', '')
('11:15:25.641527', b's-dur: 61589\r\n', '')
('11:15:25.657126', b'S\r\n', '')
('11:15:25.719635', b'D1-467************************\trssi:-37\r\n', '')
('11:15:25.719635', b'D1-468************************\trssi:-37\r\n', '')
('11:15:25.719635', b'D1-469************************\trssi:-37\r\n', '')
('11:15:25.719635', b's-dur: 61436\r\n', '')
('11:15:25.891447', b'S\r\n', '')
('11:15:25.953955', b'D1-479************************\trssi:-37\r\n', '')
