('14:17:11.340305', b'D3-343************************\trssi:-53\r\n', '')
('14:17:11.340305', b'D3-341************************\trssi:-54\r\n', '')
('14:17:11.340305', b'D3-342************************\trssi:-54\r\n', '')
('14:17:11.340305', b'D3-340************************\trssi:-55\r\n', '')
('14:17:11.355926', b'D3-338************************\trssi:-56\r\n', '')
('14:17:11.355926', b'D3-339************************\trssi:-56\r\n', '')
('14:17:11.355926', b's-dur: 71254\r\n', '')
('14:17:11.355926', b'S\r\n', '')
('14:17:11.402811', b'D3-348************************\trssi:-53\r\n', '')
('14:17:11.418411', b'D3-349************************\trssi:-53\r\n', '')
('14:17:11.418411', b'D3-350************************\trssi:-53\r\n', '')
('14:17:11.418411', b'D3-346************************\trssi:-54\r\n', '')
('14:17:11.418411', b'D3-347************************\trssi:-54\r\n', '')
('14:17:11.418411', b's-dur: 68002\r\n', '')
('14:17:11.418411', b'S\r\n', '')
('14:17:11.480897', b'D3-355************************\trssi:-54\r\n', '')
('14:17:11.480897', b'D3-356************************\trssi:-54\r\n', '')
('14:17:11.480897', b'D3-353************************\trssi:-55\r\n', '')
('14:17:11.480897', b'D3-354************************\trssi:-55\r\n', '')
('14:17:11.496551', b'D3-357************************\trssi:-55\r\n', '')
('14:17:11.496551', b'D3-352************************\trssi:-56\r\n', '')
('14:17:11.496551', b's-dur: 71637\r\n', '')
('14:17:11.496551', b'>\r\n', 'sent:100-47*')
('14:17:11.527796', b'b-dur: 40436\r\n', '')
('14:17:11.527796', b'>\r\n', 'sent:100-48*')
('14:17:11.559004', b'b-dur: 29960\r\n', '')
('14:17:11.559004', b'>\r\n', 'sent:100-49*')
('14:17:11.590274', b'b-dur: 29964\r\n', '')
('14:17:11.590274', b'S\r\n', '')
('14:17:11.652753', b'D3-371************************\trssi:-54\r\n', '')
('14:17:11.652753', b'D3-370************************\trssi:-55\r\n', '')
('14:17:11.652753', b'D3-372************************\trssi:-55\r\n', '')
('14:17:11.652753', b'D3-373************************\trssi:-55\r\n', '')
('14:17:11.668375', b'D3-374************************\trssi:-55\r\n', '')
('14:17:11.668375', b'D3-375************************\trssi:-55\r\n', '')
('14:17:11.668375', b's-dur: 71275\r\n', '')
('14:17:11.668375', b'>\r\n', 'sent:100-50*')
('14:17:11.699617', b'b-dur: 39480\r\n', '')
('14:17:11.699617', b'S\r\n', '')
('14:17:11.762104', b'D3-381************************\trssi:-56\r\n', '')
('14:17:11.762104', b'D3-383************************\trssi:-56\r\n', '')
('14:17:11.762104', b'D3-382************************\trssi:-57\r\n', '')
('14:17:11.777731', b'D3-384************************\trssi:-57\r\n', '')
('14:17:11.777731', b'D3-385************************\trssi:-57\r\n', '')
('14:17:11.777731', b'D3-386************************\trssi:-57\r\n', '')
('14:17:11.777731', b's-dur: 71268\r\n', '')
('14:17:11.777731', b'>\r\n', 'sent:100-51*')
('14:17:11.808975', b'b-dur: 39483\r\n', '')
('14:17:11.808975', b'S\r\n', '')
('14:17:11.871431', b'D3-393************************\trssi:-57\r\n', '')
('14:17:11.871431', b'D3-394************************\trssi:-57\r\n', '')
('14:17:11.887052', b'D3-395************************\trssi:-57\r\n', '')
('14:17:11.887052', b'D3-396************************\trssi:-57\r\n', '')
('14:17:11.887052', b'D3-397************************\trssi:-57\r\n', '')
('14:17:11.887052', b'D3-392************************\trssi:-58\r\n', '')
('14:17:11.887052', b's-dur: 71244\r\n', '')
('14:17:11.887052', b'S\r\n', '')
('14:17:11.949557', b'D3-399************************\trssi:-58\r\n', '')
('14:17:11.949557', b'D3-400************************\trssi:-58\r\n', '')
('14:17:11.949557', b'D3-401************************\trssi:-58\r\n', '')
('14:17:11.965163', b'D3-402************************\trssi:-58\r\n', '')
('14:17:11.965163', b'D3-403************************\trssi:-58\r\n', '')
('14:17:11.965163', b'D3-404************************\trssi:-58\r\n', '')
('14:17:11.965163', b's-dur: 71614\r\n', '')
('14:17:11.965163', b'>\r\n', 'sent:100-52*')
('14:17:11.996436', b'b-dur: 40682\r\n', '')
('14:17:11.996436', b'>\r\n', 'sent:100-53*')
('14:17:12.027675', b'b-dur: 29960\r\n', '')
('14:17:12.027675', b'>\r\n', 'sent:100-54*')
('14:17:12.058917', b'b-dur: 29964\r\n', '')
('14:17:12.058917', b'>\r\n', 'sent:100-55*')
('14:17:12.090158', b'b-dur: 29964\r\n', '')
('14:17:12.090158', b'S\r\n', '')
('14:17:12.152638', b'D3-420************************\trssi:-59\r\n', '')
('14:17:12.152638', b'D3-421************************\trssi:-59\r\n', '')
('14:17:12.152638', b'D3-422************************\trssi:-59\r\n', '')
('14:17:12.152638', b'D3-423************************\trssi:-59\r\n', '')
('14:17:12.168268', b'D3-424************************\trssi:-59\r\n', '')
('14:17:12.168268', b'D3-425************************\trssi:-59\r\n', '')
('14:17:12.168268', b's-dur: 71280\r\n', '')
('14:17:12.168268', b'>\r\n', 'sent:100-56*')
('14:17:12.202916', b'b-dur: 39475\r\n', '')
('14:17:12.202916', b'>\r\n', 'sent:100-57*')
('14:17:12.234209', b'b-dur: 28960\r\n', '')
('14:17:12.234209', b'>\r\n', 'sent:100-58*')
('14:17:12.249802', b'b-dur: 27964\r\n', '')
('14:17:12.249802', b'>\r\n', 'sent:100-59*')
('14:17:12.281052', b'b-dur: 28964\r\n', '')
('14:17:12.281052', b'S\r\n', '')
('14:17:12.343530', b'D3-441************************\trssi:-56\r\n', '')
('14:17:12.359158', b'D3-440************************\trssi:-57\r\n', '')
('14:17:12.359158', b'D3-442************************\trssi:-57\r\n', '')
('14:17:12.359158', b'D3-443************************\trssi:-57\r\n', '')
('14:17:12.359158', b'D3-444************************\trssi:-57\r\n', '')
('14:17:12.359158', b's-dur: 67688\r\n', '')
('14:17:12.359158', b'>\r\n', 'sent:100-60*')
('14:17:12.390394', b'b-dur: 40067\r\n', '')
('14:17:12.390394', b'S\r\n', '')
('14:17:12.452880', b'D3-450************************\trssi:-57\r\n', '')
('14:17:12.452880', b'D3-453************************\trssi:-57\r\n', '')
('14:17:12.468502', b'D3-455************************\trssi:-57\r\n', '')
('14:17:12.468502', b'D3-451************************\trssi:-58\r\n', '')
('14:17:12.468502', b'D3-452************************\trssi:-58\r\n', '')
('14:17:12.468502', b'D3-454************************\trssi:-58\r\n', '')
('14:17:12.468502', b's-dur: 71246\r\n', '')
('14:17:12.484130', b'>\r\n', 'sent:100-61*')
('14:17:12.499744', b'b-dur: 40505\r\n', '')
('14:17:12.499744', b'>\r\n', 'sent:100-62*')
('14:17:12.530988', b'b-dur: 27960\r\n', '')
('14:17:12.530988', b'S\r\n', '')
('14:17:12.593473', b'D3-469************************\trssi:-56\r\n', '')
('14:17:12.609101', b'D3-465************************\trssi:-57\r\n', '')
('14:17:12.609101', b'D3-466************************\trssi:-57\r\n', '')
('14:17:12.609101', b'D3-467************************\trssi:-57\r\n', '')
('14:17:12.609101', b'D3-468************************\trssi:-57\r\n', '')
('14:17:12.609101', b's-dur: 67690\r\n', '')
('14:17:12.609101', b'>\r\n', 'sent:100-63*')
('14:17:12.640345', b'b-dur: 38065\r\n', '')
('14:17:12.640345', b'>\r\n', 'sent:100-64*')
