('14:55:12.452625', b'D3-89189**********************\trssi:-52\r\n', '')
('14:55:12.455712', b'D3-89190**********************\trssi:-52\r\n', '')
('14:55:12.455712', b'D3-89191**********************\trssi:-52\r\n', '')
('14:55:12.455712', b'D3-89192**********************\trssi:-52\r\n', '')
('14:55:12.455712', b'D3-89193**********************\trssi:-52\r\n', '')
('14:55:12.455712', b'D3-89194**********************\trssi:-52\r\n', '')
('14:55:12.471335', b'D3-89186**********************\trssi:-53\r\n', '')
('14:55:12.471335', b's-dur: 81923\r\n', '')
('14:55:12.471335', b'S\r\n', '')
('14:55:12.528529', b'D3-89199**********************\trssi:-51\r\n', '')
('14:55:12.532571', b'D3-89204**********************\trssi:-51\r\n', '')
('14:55:12.535573', b'D3-89198**********************\trssi:-52\r\n', '')
('14:55:12.539607', b'D3-89200**********************\trssi:-52\r\n', '')
('14:55:12.542767', b'D3-89201**********************\trssi:-52\r\n', '')
('14:55:12.546756', b'D3-89202**********************\trssi:-52\r\n', '')
('14:55:12.550667', b'D3-89203**********************\trssi:-52\r\n', '')
('14:55:12.553527', b'D3-89205**********************\trssi:-52\r\n', '')
('14:55:12.557595', b'D3-89206**********************\trssi:-52\r\n', '')
('14:55:12.558569', b's-dur: 82311\r\n', '')
('14:55:12.558569', b'S\r\n', '')
('14:55:12.612714', b'D3-89214**********************\trssi:-51\r\n', '')
('14:55:12.615646', b'D3-89210**********************\trssi:-52\r\n', '')
('14:55:12.619699', b'D3-89211**********************\trssi:-52\r\n', '')
('14:55:12.623711', b'D3-89212**********************\trssi:-52\r\n', '')
('14:55:12.626704', b'D3-89213**********************\trssi:-52\r\n', '')
('14:55:12.630672', b'D3-89215**********************\trssi:-52\r\n', '')
('14:55:12.633679', b'D3-89216**********************\trssi:-52\r\n', '')
('14:55:12.637676', b'D3-89217**********************\trssi:-52\r\n', '')
('14:55:12.640636', b'D3-89218**********************\trssi:-52\r\n', '')
('14:55:12.642398', b's-dur: 82318\r\n', '')
('14:55:12.642398', b'>\r\n', 'sent:80-8393*')
('14:55:12.671294', b'b-dur: 40777\r\n', '')
('14:55:12.671294', b'S\r\n', '')
('14:55:12.736612', b'D3-89229**********************\trssi:-51\r\n', '')
('14:55:12.739556', b'D3-89232**********************\trssi:-51\r\n', '')
('14:55:12.743696', b'D3-89228**********************\trssi:-52\r\n', '')
('14:55:12.747669', b'D3-89230**********************\trssi:-52\r\n', '')
('14:55:12.750661', b'D3-89231**********************\trssi:-52\r\n', '')
('14:55:12.753653', b'D3-89233**********************\trssi:-52\r\n', '')
('14:55:12.755717', b'D3-89234**********************\trssi:-52\r\n', '')
