('14:57:28.383594', b's-dur: 67698\r\n', '')
('14:57:28.383594', b'S\r\n', '')
('14:57:28.437673', b'D3-384************************\trssi:-42\r\n', '')
('14:57:28.440665', b'D3-381************************\trssi:-43\r\n', '')
('14:57:28.445387', b'D3-383************************\trssi:-43\r\n', '')
('14:57:28.448478', b'D3-382************************\trssi:-44\r\n', '')
('14:57:28.450470', b's-dur: 64482\r\n', '')
('14:57:28.450470', b'>\r\n', 'sent:64-85*')
('14:57:28.466148', b'b-dur: 39362\r\n', '')
('14:57:28.466148', b'>\r\n', 'sent:64-86*')
('14:57:28.497668', b'b-dur: 28962\r\n', '')
('14:57:28.497668', b'>\r\n', 'sent:64-87*')
('14:57:28.537485', b'b-dur: 28964\r\n', '')
('14:57:28.537485', b'>\r\n', 'sent:64-88*')
('14:57:28.567454', b'b-dur: 29964\r\n', '')
('14:57:28.567454', b'>\r\n', 'sent:64-89*')
('14:57:28.584211', b'b-dur: 28964\r\n', '')
('14:57:28.584211', b'S\r\n', '')
('14:57:28.659476', b'D3-399************************\trssi:-42\r\n', '')
('14:57:28.663572', b'D3-401************************\trssi:-42\r\n', '')
('14:57:28.667565', b'D3-398************************\trssi:-43\r\n', '')
('14:57:28.669559', b'D3-400************************\trssi:-44\r\n', '')
('14:57:28.671591', b's-dur: 64132\r\n', '')
('14:57:28.672551', b'>\r\n', 'sent:64-90*')
('14:57:28.699495', b'b-dur: 38623\r\n', '')
