('16:53:55.803115', b'D3-52082**********************\trssi:-43\r\n', '')
('16:53:55.803115', b'D3-52083**********************\trssi:-43\r\n', '')
('16:53:55.818872', b'D3-52084**********************\trssi:-43\r\n', '')
('16:53:55.818872', b'D3-52085**********************\trssi:-43\r\n', '')
('16:53:55.818872', b'D3-52086**********************\trssi:-43\r\n', '')
('16:53:55.818872', b'D3-52088**********************\trssi:-43\r\n', '')
('16:53:55.834312', b'D3-52090**********************\trssi:-43\r\n', '')
('16:53:55.834312', b'D3-52091**********************\trssi:-43\r\n', '')
('16:53:55.834312', b'D3-52093**********************\trssi:-43\r\n', '')
('16:53:55.834312', b'D3-52066**********************\trssi:-44\r\n', '')
('16:53:55.850131', b'D3-52072**********************\trssi:-44\r\n', '')
('16:53:55.850131', b'D3-52077**********************\trssi:-44\r\n', '')
('16:53:55.856157', b'D3-52081**********************\trssi:-44\r\n', '')
('16:53:55.856157', b'D3-52087**********************\trssi:-44\r\n', '')
