('17:50:23.907824', '2-565')
('17:50:23.939060', '2-566')
('17:50:23.970315', '2-567')
('17:50:24.001571', '2-568')
('17:50:24.032789', '2-569')
('17:50:24.063994', '2-570')
('17:50:24.266860', '2-571')
('17:50:24.369028', '2-572')
('17:50:24.638528', '2-573')
('17:50:24.732552', '2-574')
('17:50:25.372292', '2-575')
('17:50:25.387909', '2-576')
('17:50:25.488211', '2-577')
('17:50:25.519380', '2-578')
('17:50:25.741728', '2-579')
('17:50:25.820115', '2-580')
('17:50:25.973811', '2-581')
('17:50:26.120965', '2-582')
('17:50:26.274904', '2-583')
('17:50:26.422064', '2-584')
('17:50:26.644720', '2-585')
('17:50:26.860766', '2-586')
('17:50:27.007879', '2-587')
('17:50:27.108101', '2-588')
('17:50:27.208124', '2-589')
('17:50:27.361151', '2-590')
('17:50:27.392408', '2-591')
('17:50:27.423648', '2-592')
('17:50:27.692329', '2-593')
('17:50:27.961211', '2-594')
('17:50:27.992480', '2-595')
('17:50:28.023430', '2-596')
('17:50:28.107760', '2-597')
('17:50:28.145279', '2-598')
('17:50:28.223648', '2-599')
('17:50:28.323441', '2-600')
('17:50:28.593573', '2-601')
('17:50:28.809515', '2-602')
('17:50:28.894054', '2-603')
('17:50:28.925278', '2-604')
('17:50:28.947157', '2-605')
('17:50:29.110211', '2-606')
('17:50:29.194652', '2-607')
('17:50:29.225891', '2-608')
('17:50:29.247974', '2-609')
('17:50:29.410919', '2-610')
('17:50:29.927750', '2-611')
('17:50:30.081602', '2-612')
('17:50:30.112563', '2-613')
('17:50:30.128185', '2-614')
('17:50:30.228315', '2-615')
('17:50:30.266060', '2-616')
('17:50:30.529579', '2-617')
('17:50:30.567703', '2-618')
('17:50:30.767605', '2-619')
('17:50:30.868407', '2-620')
('17:50:31.068977', '2-621')
('17:50:31.100229', '2-622')
('17:50:31.200542', '2-623')
('17:50:31.216139', '2-624')
('17:50:31.385192', '2-625')
('17:50:31.594588', '2-626')
('17:50:31.871464', '2-627')
('17:50:32.134245', '2-628')
('17:50:32.357061', '2-629')
('17:50:32.388600', '2-630')
('17:50:32.419827', '2-631')
('17:50:32.573552', '2-632')
('17:50:32.657928', '2-633')
('17:50:32.874399', '2-634')
('17:50:33.021883', '2-635')
('17:50:33.053107', '2-636')
('17:50:33.438592', '2-637')
('17:50:33.660743', '2-638')
('17:50:33.760784', '2-639')
('17:50:34.023594', '2-640')
('17:50:34.176764', '2-641')
('17:50:34.208054', '2-642')
('17:50:34.239295', '2-643')
('17:50:34.261330', '2-644')
('17:50:34.292873', '2-645')
('17:50:34.323995', '2-646')
('17:50:34.408682', '2-647')
('17:50:34.627135', '2-648')
('17:50:34.658643', '2-649')
('17:50:34.689597', '2-650')
('17:50:34.705509', '2-651')
('17:50:34.924198', '2-652')
('17:50:34.955433', '2-653')
('17:50:35.220998', '2-654')
('17:50:35.314741', '2-655')
('17:50:35.580287', '2-656')
('17:50:35.611456', '2-657')
