('10:49:19.416978', b'>\r\n', 'sent:2-245*')
('10:49:19.624961', b'D1-216************************\trssi:-10\r\n', '')
('10:49:19.629065', b'D1-214************************\trssi:-11\r\n', '')
('10:49:19.632871', b'D1-215************************\trssi:-11\r\n', '')
('10:49:19.686930', b'D1-217************************\trssi:-11\r\n', '')
('10:49:19.868988', b'D1-218************************\trssi:-10\r\n', '')
('10:49:19.872928', b'D1-219************************\trssi:-10\r\n', '')
('10:49:19.873022', b'>\r\n', 'sent:2-246*')
('10:49:19.960915', b'D1-220************************\trssi:-10\r\n', '')
('10:49:20.017972', b'>\r\n', 'sent:2-247*')
('10:49:20.100971', b'>\r\n', 'sent:2-248*')
('10:49:20.309075', b'D1-221************************\trssi:-10\r\n', '')
('10:49:20.312919', b'D1-222************************\trssi:-10\r\n', '')
('10:49:20.313009', b'>\r\n', 'sent:2-249*')
('10:49:20.395999', b'>\r\n', 'sent:2-250*')
('10:49:20.417971', b'>\r\n', 'sent:2-251*')
('10:49:20.439934', b'>\r\n', 'sent:2-252*')
('10:49:20.527041', b'D1-224************************\trssi:-10\r\n', '')
('10:49:20.588083', b'D1-225************************\trssi:-10\r\n', '')
('10:49:20.590953', b'D1-226************************\trssi:-12\r\n', '')
('10:49:20.591948', b'>\r\n', 'sent:2-253*')
('10:49:20.679105', b'D1-229************************\trssi:-10\r\n', '')
('10:49:20.800923', b'D1-230************************\trssi:-10\r\n', '')
('10:49:20.922939', b'D1-232************************\trssi:-11\r\n', '')
('10:49:20.927032', b'D1-233************************\trssi:-11\r\n', '')
('10:49:20.927161', b'>\r\n', 'sent:2-254*')
('10:49:20.948980', b'>\r\n', 'sent:2-255*')
('10:49:20.970929', b'>\r\n', 'sent:2-256*')
('10:49:21.237004', b'>\r\n', 'sent:2-257*')
('10:49:21.323979', b'D1-235************************\trssi:-11\r\n', '')
('10:49:21.384935', b'D1-236************************\trssi:-11\r\n', '')
('10:49:21.445928', b'D1-237************************\trssi:-11\r\n', '')
('10:49:21.507068', b'D1-238************************\trssi:-10\r\n', '')
('10:49:21.567924', b'D1-239************************\trssi:-10\r\n', '')
('10:49:21.571853', b'D1-240************************\trssi:-10\r\n', '')
('10:49:21.629090', b'D1-241************************\trssi:-11\r\n', '')
