('10:49:17.586975', b'>\r\n', 'sent:1-201*')
('10:49:17.673964', b'D2-226************************\trssi:-21\r\n', '')
('10:49:17.730988', b'>\r\n', 'sent:1-202*')
('10:49:17.812975', b'>\r\n', 'sent:1-203*')
('10:49:17.899940', b'D2-227************************\trssi:-22\r\n', '')
('10:49:17.900044', b'>\r\n', 'sent:1-204*')
('10:49:18.044001', b'>\r\n', 'sent:1-205*')
('10:49:18.131093', b'D2-228************************\trssi:-22\r\n', '')
('10:49:18.313917', b'D2-229************************\trssi:-21\r\n', '')
('10:49:18.316963', b'D2-230************************\trssi:-23\r\n', '')
('10:49:18.317921', b'>\r\n', 'sent:1-206*')
('10:49:18.338991', b'>\r\n', 'sent:1-207*')
('10:49:18.361038', b'>\r\n', 'sent:1-208*')
('10:49:18.568968', b'D2-232************************\trssi:-22\r\n', '')
('10:49:18.572932', b'D2-233************************\trssi:-23\r\n', '')
('10:49:18.573026', b'>\r\n', 'sent:1-209*')
('10:49:18.660053', b'D2-235************************\trssi:-21\r\n', '')
('10:49:18.662953', b'D2-234************************\trssi:-22\r\n', '')
('10:49:18.720956', b'D2-236************************\trssi:-22\r\n', '')
('10:49:18.725013', b'D2-237************************\trssi:-22\r\n', '')
('10:49:18.725119', b'>\r\n', 'sent:1-210*')
('10:49:18.930040', b'>\r\n', 'sent:1-211*')
('10:49:18.951965', b'>\r\n', 'sent:1-212*')
('10:49:19.037916', b'D2-238************************\trssi:-21\r\n', '')
('10:49:19.159924', b'D2-239************************\trssi:-22\r\n', '')
('10:49:19.163085', b'D2-240************************\trssi:-22\r\n', '')
('10:49:19.167153', b'D2-241************************\trssi:-22\r\n', '')
('10:49:19.220910', b'D2-242************************\trssi:-21\r\n', '')
('10:49:19.225003', b'D2-243************************\trssi:-21\r\n', '')
('10:49:19.281964', b'D2-244************************\trssi:-22\r\n', '')
('10:49:19.282925', b'>\r\n', 'sent:1-213*')
('10:49:19.430990', b'D2-245************************\trssi:-22\r\n', '')
('10:49:19.548962', b'>\r\n', 'sent:1-214*')
('10:49:19.570930', b'>\r\n', 'sent:1-215*')
('10:49:19.592948', b'>\r\n', 'sent:1-216*')
('10:49:19.613970', b'>\r\n', 'sent:1-217*')
('10:49:19.818962', b'>\r\n', 'sent:1-218*')
('10:49:19.841054', b'>\r\n', 'sent:1-219*')
('10:49:19.927939', b'D2-246************************\trssi:-23\r\n', '')
('10:49:19.928042', b'>\r\n', 'sent:1-220*')
('10:49:20.076020', b'D2-247************************\trssi:-22\r\n', '')
('10:49:20.136910', b'D2-248************************\trssi:-22\r\n', '')
('10:49:20.254978', b'>\r\n', 'sent:1-221*')
('10:49:20.276932', b'>\r\n', 'sent:1-222*')
('10:49:20.298968', b'>\r\n', 'sent:1-223*')
('10:49:20.446895', b'D2-251************************\trssi:-21\r\n', '')
('10:49:20.450065', b'D2-250************************\trssi:-22\r\n', '')
('10:49:20.507936', b'D2-252************************\trssi:-22\r\n', '')
('10:49:20.508040', b'>\r\n', 'sent:1-224*')
('10:49:20.529919', b'>\r\n', 'sent:1-225*')
('10:49:20.552003', b'>\r\n', 'sent:1-226*')
('10:49:20.573935', b'>\r\n', 'sent:1-227*')
('10:49:20.595960', b'>\r\n', 'sent:1-228*')
('10:49:20.616107', b'>\r\n', 'sent:1-229*')
('10:49:20.762973', b'>\r\n', 'sent:1-230*')
('10:49:20.784947', b'>\r\n', 'sent:1-231*')
('10:49:20.868108', b'>\r\n', 'sent:1-232*')
('10:49:20.889929', b'>\r\n', 'sent:1-233*')
('10:49:20.911995', b'>\r\n', 'sent:1-234*')
('10:49:20.998923', b'D2-254************************\trssi:-20\r\n', '')
('10:49:21.001953', b'D2-255************************\trssi:-21\r\n', '')
('10:49:21.005915', b'D2-256************************\trssi:-21\r\n', '')
('10:49:21.303013', b'D2-257************************\trssi:-21\r\n', '')
('10:49:21.303981', b'>\r\n', 'sent:1-235*')
('10:49:21.325977', b'>\r\n', 'sent:1-236*')
('10:49:21.409942', b'>\r\n', 'sent:1-237*')
('10:49:21.431975', b'>\r\n', 'sent:1-238*')
('10:49:21.514923', b'>\r\n', 'sent:1-239*')
('10:49:21.536917', b'>\r\n', 'sent:1-240*')
('10:49:21.558946', b'>\r\n', 'sent:1-241*')
('10:49:21.580909', b'>\r\n', 'sent:1-242*')
('10:49:21.602930', b'>\r\n', 'sent:1-243*')
('10:49:21.750888', b'D2-258************************\trssi:-21\r\n', '')
('10:49:21.750997', b'>\r\n', 'sent:1-244*')
('10:49:21.773049', b'>\r\n', 'sent:1-245*')
('10:49:21.917935', b'>\r\n', 'sent:1-246*')
('10:49:21.939936', b'>\r\n', 'sent:1-247*')
('10:49:21.961911', b'>\r\n', 'sent:1-248*')
('10:49:21.983988', b'>\r\n', 'sent:1-249*')
('10:49:22.005919', b'>\r\n', 'sent:1-250*')
('10:49:22.092923', b'D2-259************************\trssi:-22\r\n', '')
