('286.32355489099996', ('192.168.4.4', 8000), b'message: 139\r\n')
('288.10465640100006', ('192.168.4.20', 8000), b'message: 5\r\n')
('288.21421843200005', ('192.168.4.4', 8000), b'message: 140\r\n')
('288.98452608799994', ('192.168.4.4', 8000), b'message: 141\r\n')
('289.0850554630001', ('192.168.4.20', 8000), b'message: 6\r\n')
('290.2677323380001', ('192.168.4.20', 8000), b'message: 7\r\n')
('291.93432749299996', ('192.168.4.4', 8000), b'message: 142\r\n')
('292.63048952400004', ('192.168.4.20', 8000), b'message: 8\r\n')
('292.87341145100004', ('192.168.4.4', 8000), b'message: 143\r\n')
('293.501901138', ('192.168.4.4', 8000), b'message: 144\r\n')
('295.49463514800004', ('192.168.4.20', 8000), b'message: 9\r\n')
('296.30475290799995', ('192.168.4.20', 8000), b'message: 10\r\n')
('297.27574603300013', ('192.168.4.4', 8000), b'message: 145\r\n')
('298.36774952199994', ('192.168.4.4', 8000), b'message: 146\r\n')
('306.54902155000013', ('192.168.4.4', 8000), b'message: 147\r\n')
('307.3860733209999', ('192.168.4.4', 8000), b'message: 148\r\n')
('308.158357175', ('192.168.4.4', 8000), b'message: 149\r\n')
('309.07180092399994', ('192.168.4.4', 8000), b'message: 150\r\n')
('309.49685832', ('192.168.4.4', 8000), b'message: 151\r\n')
('310.54789389200005', ('192.168.4.4', 8000), b'message: 152\r\n')
('310.83625800699997', ('192.168.4.4', 8000), b'message: 153\r\n')
('311.33302128800005', ('192.168.4.9', 8000), b'message: 0\r\n')
('311.804389829', ('192.168.4.4', 8000), b'message: 154\r\n')
('313.6160807660001', ('192.168.4.9', 8000), b'message: 1\r\n')
('313.988094777', ('192.168.4.9', 8000), b'message: 2\r\n')
('314.93015165099996', ('192.168.4.9', 8000), b'message: 3\r\n')
('315.2532575360001', ('192.168.4.4', 8000), b'message: 155\r\n')
('315.3548617030001', ('192.168.4.9', 8000), b'message: 4\r\n')
('317.1533762859999', ('192.168.4.9', 8000), b'message: 5\r\n')
('317.25487638999994', ('192.168.4.4', 8000), b'message: 156\r\n')
('318.9555614410001', ('192.168.4.4', 8000), b'message: 157\r\n')
('319.2387445659999', ('192.168.4.9', 8000), b'message: 6\r\n')
