('15:27:29.077720', b'>\r\n', 'sent:1-178*')
('15:27:29.093336', b'dur: 21969\r\n', '')
('15:27:29.093336', b'>\r\n', 'sent:1-179*')
('15:27:29.124634', b'dur: 21969\r\n', '')
('15:27:29.124634', b'>\r\n', 'sent:1-180*')
('15:27:29.140233', b'dur: 21969\r\n', '')
('15:27:29.140233', b'>\r\n', 'sent:1-181*')
('15:27:29.155861', b'dur: 21969\r\n', '')
('15:27:29.171216', b'>\r\n', 'sent:1-182*')
('15:27:29.187104', b'dur: 21969\r\n', '')
('15:27:29.187104', b'>\r\n', 'sent:1-183*')
('15:27:29.202722', b'dur: 21969\r\n', '')
('15:27:29.202722', b'>\r\n', 'sent:1-184*')
('15:27:29.218350', b'dur: 17975\r\n', '')
('15:27:29.218350', b'S\r\n', '')
('15:27:29.296174', b'D2-188************************\trssi:-46\r\n', '')
('15:27:29.296174', b'D2-189************************\trssi:-48\r\n', '')
('15:27:29.296174', b'D2-190************************\trssi:-48\r\n', '')
('15:27:29.296174', b'>\r\n', 'sent:1-185*')
('15:27:29.312075', b'dur: 30590\r\n', '')
('15:27:29.312075', b'>\r\n', 'sent:1-186*')
('15:27:29.343259', b'dur: 21967\r\n', '')
('15:27:29.343259', b'>\r\n', 'sent:1-187*')
('15:27:29.358660', b'dur: 21969\r\n', '')
('15:27:29.358660', b'>\r\n', 'sent:1-188*')
('15:27:29.390072', b'dur: 21969\r\n', '')
('15:27:29.390072', b'>\r\n', 'sent:1-189*')
('15:27:29.405798', b'dur: 20969\r\n', '')
('15:27:29.405798', b'>\r\n', 'sent:1-190*')
('15:27:29.421445', b'dur: 21969\r\n', '')
('15:27:29.421445', b'>\r\n', 'sent:1-191*')
('15:27:29.452662', b'dur: 21969\r\n', '')
('15:27:29.452662', b'>\r\n', 'sent:1-192*')
('15:27:29.468307', b'dur: 21969\r\n', '')
('15:27:29.468307', b'S\r\n', '')
('15:27:29.530778', b'D2-197************************\trssi:-46\r\n', '')
('15:27:29.530778', b'D2-196************************\trssi:-48\r\n', '')
('15:27:29.546122', b'D2-198************************\trssi:-48\r\n', '')
('15:27:29.546122', b'>\r\n', 'sent:1-193*')
('15:27:29.561990', b'dur: 30611\r\n', '')
('15:27:29.561990', b'>\r\n', 'sent:1-194*')
('15:27:29.577634', b'dur: 21967\r\n', '')
('15:27:29.577634', b'>\r\n', 'sent:1-195*')
('15:27:29.608603', b'dur: 20969\r\n', '')
('15:27:29.608603', b'>\r\n', 'sent:1-196*')
('15:27:29.624467', b'dur: 21969\r\n', '')
('15:27:29.624467', b'>\r\n', 'sent:1-197*')
('15:27:29.655655', b'dur: 21969\r\n', '')
('15:27:29.655655', b'>\r\n', 'sent:1-198*')
('15:27:29.671366', b'dur: 21969\r\n', '')
('15:27:29.671366', b'>\r\n', 'sent:1-199*')
('15:27:29.686909', b'dur: 21969\r\n', '')
('15:27:29.686909', b'>\r\n', 'sent:1-200*')
('15:27:29.718222', b'dur: 26969\r\n', '')
('15:27:29.718222', b'>\r\n', 'sent:1-201*')
('15:27:29.749196', b'dur: 21969\r\n', '')
('15:27:29.749196', b'>\r\n', 'sent:1-202*')
('15:27:29.764894', b'dur: 21969\r\n', '')
('15:27:29.764894', b'>\r\n', 'sent:1-203*')
('15:27:29.780721', b'dur: 21969\r\n', '')
('15:27:29.780721', b'>\r\n', 'sent:1-204*')
('15:27:29.811930', b'dur: 21969\r\n', '')
('15:27:29.811930', b'>\r\n', 'sent:1-205*')
('15:27:29.827577', b'dur: 21969\r\n', '')
('15:27:29.827577', b'>\r\n', 'sent:1-206*')
('15:27:29.843134', b'dur: 20969\r\n', '')
('15:27:29.858584', b'>\r\n', 'sent:1-207*')
('15:27:29.874167', b'dur: 20969\r\n', '')
