('21:56:03.948239', b'D2-16:57:25.481993************\trssi:-39\r\n', '')
('21:56:03.951416', b'D2-16:57:25.597605************\trssi:-39\r\n', '')
('21:56:04.003071', b'>\r\n', 'sent:1-21:56:03.951475*')
('21:56:04.212213', b'D2-16:57:25.766339************\trssi:-39\r\n', '')
('21:56:04.394850', b'D2-16:57:25.881979************\trssi:-38\r\n', '')
('21:56:04.395435', b'>\r\n', 'sent:1-21:56:04.394933*')
('21:56:04.725092', b'D2-16:57:26.166391************\trssi:-39\r\n', '')
('21:56:04.781315', b'>\r\n', 'sent:1-21:56:04.725170*')
('21:56:04.865299', b'>\r\n', 'sent:1-21:56:04.781393*')
('21:56:04.951935', b'D2-16:57:26.636007************\trssi:-40\r\n', '')
('21:56:05.008231', b'>\r\n', 'sent:1-21:56:04.952011*')
('21:56:05.576111', b'>\r\n', 'sent:1-21:56:05.008314*')
('21:56:05.718716', b'>\r\n', 'sent:1-21:56:05.576212*')
('21:56:05.865409', b'D2-16:57:27.500718************\trssi:-38\r\n', '')
('21:56:05.926679', b'D2-16:57:27.569542************\trssi:-40\r\n', '')
('21:56:05.927350', b'>\r\n', 'sent:1-21:56:05.926750*')
('21:56:05.947945', b'>\r\n', 'sent:1-21:56:05.927420*')
('21:56:05.969317', b'>\r\n', 'sent:1-21:56:05.948022*')
('21:56:06.055920', b'D2-16:57:27.754806************\trssi:-40\r\n', '')
('21:56:06.234723', b'>\r\n', 'sent:1-21:56:06.055995*')
('21:56:06.377574', b'>\r\n', 'sent:1-21:56:06.234808*')
('21:56:06.526673', b'D2-16:57:28.140129************\trssi:-38\r\n', '')
('21:56:06.529904', b'D2-16:57:28.202791************\trssi:-40\r\n', '')
('21:56:06.581815', b'>\r\n', 'sent:1-21:56:06.529961*')
('21:56:06.603141', b'>\r\n', 'sent:1-21:56:06.581893*')
('21:56:06.683425', b'>\r\n', 'sent:1-21:56:06.603204*')
('21:56:06.703527', b'>\r\n', 'sent:1-21:56:06.683498*')
('21:56:06.724898', b'>\r\n', 'sent:1-21:56:06.703595*')
('21:56:06.811566', b'D2-16:57:28.504193************\trssi:-38\r\n', '')
('21:56:06.929093', b'>\r\n', 'sent:1-21:56:06.811641*')
('21:56:06.951691', b'>\r\n', 'sent:1-21:56:06.929180*')
('21:56:07.282087', b'D2-16:57:28.958648************\trssi:-39\r\n', '')
('21:56:07.338322', b'>\r\n', 'sent:1-21:56:07.282165*')
('21:56:07.421081', b'>\r\n', 'sent:1-21:56:07.338401*')
('21:56:07.629013', b'D2-16:57:29.174905************\trssi:-39\r\n', '')
('21:56:07.629581', b'>\r\n', 'sent:1-21:56:07.629086*')
('21:56:08.140663', b'D2-16:57:29.290796************\trssi:-38\r\n', '')
('21:56:08.440644', b'>\r\n', 'sent:1-21:56:08.140750*')
('21:56:08.710936', b'D2-16:57:30.192896************\trssi:-39\r\n', '')
('21:56:08.771019', b'D2-16:57:30.362568************\trssi:-38\r\n', '')
('21:56:08.949851', b'>\r\n', 'sent:1-21:56:08.771084*')
('21:56:09.032585', b'>\r\n', 'sent:1-21:56:08.949937*')
('21:56:09.052676', b'>\r\n', 'sent:1-21:56:09.032667*')
('21:56:09.074063', b'>\r\n', 'sent:1-21:56:09.052743*')
('21:56:09.156832', b'>\r\n', 'sent:1-21:56:09.074148*')
('21:56:09.178207', b'>\r\n', 'sent:1-21:56:09.156912*')
('21:56:09.264798', b'D2-16:57:30.888749************\trssi:-39\r\n', '')
('21:56:09.326168', b'D2-16:57:30.919996************\trssi:-39\r\n', '')
('21:56:09.508934', b'D2-16:57:30.998109************\trssi:-40\r\n', '')
('21:56:09.626337', b'>\r\n', 'sent:1-21:56:09.509014*')
('21:56:09.647700', b'>\r\n', 'sent:1-21:56:09.626423*')
('21:56:09.667812', b'>\r\n', 'sent:1-21:56:09.647779*')
('21:56:09.750575', b'>\r\n', 'sent:1-21:56:09.667889*')
('21:56:09.954592', b'>\r\n', 'sent:1-21:56:09.750658*')
('21:56:10.036090', b'>\r\n', 'sent:1-21:56:09.954677*')
('21:56:10.057538', b'>\r\n', 'sent:1-21:56:10.036170*')
('21:56:10.504062', b'>\r\n', 'sent:1-21:56:10.060131*')
('21:56:10.590548', b'D2-16:57:32.275073************\trssi:-40\r\n', '')
('21:56:10.714562', b'D2-16:57:32.275073************\trssi:-39\r\n', '')
('21:56:10.717816', b'D2-16:57:32.368512************\trssi:-39\r\n', '')
('21:56:10.836183', b'D2-16:57:32.399921************\trssi:-40\r\n', '')
('21:56:10.839415', b'D2-16:57:32.478131************\trssi:-40\r\n', '')
('21:56:11.133908', b'>\r\n', 'sent:1-21:56:10.839471*')
('21:56:11.155166', b'>\r\n', 'sent:1-21:56:11.133989*')
('21:56:11.236673', b'>\r\n', 'sent:1-21:56:11.155232*')
('21:56:11.502117', b'D2-16:57:32.946775************\trssi:-38\r\n', '')
('21:56:11.684693', b'D2-16:57:33.149804************\trssi:-40\r\n', '')
('21:56:11.685269', b'>\r\n', 'sent:1-21:56:11.684767*')
('21:56:11.767455', b'>\r\n', 'sent:1-21:56:11.685333*')
('21:56:11.852668', b'D2-16:57:33.352930************\trssi:-40\r\n', '')
('21:56:12.273994', b'>\r\n', 'sent:1-21:56:11.852737*')
('21:56:12.294032', b'>\r\n', 'sent:1-21:56:12.274079*')
('21:56:12.501998', b'D2-16:57:34.180886************\trssi:-39\r\n', '')
('21:56:12.623306', b'D2-16:57:34.196477************\trssi:-39\r\n', '')
('21:56:12.802111', b'>\r\n', 'sent:1-21:56:12.623377*')
('21:56:13.006201', b'>\r\n', 'sent:1-21:56:12.802196*')
('21:56:13.028676', b'>\r\n', 'sent:1-21:56:13.006294*')
('21:56:13.048790', b'>\r\n', 'sent:1-21:56:13.028747*')
('21:56:13.196694', b'D2-16:57:34.795808************\trssi:-38\r\n', '')
('21:56:13.379444', b'D2-16:57:34.842844************\trssi:-39\r\n', '')
('21:56:13.561984', b'D2-16:57:35.045937************\trssi:-38\r\n', '')
('21:56:13.623299', b'D2-16:57:35.249003************\trssi:-38\r\n', '')
('21:56:13.862100', b'>\r\n', 'sent:1-21:56:13.623373*')
('21:56:13.883416', b'>\r\n', 'sent:1-21:56:13.862182*')
('21:56:14.213842', b'D2-16:57:35.655174************\trssi:-40\r\n', '')
('21:56:14.214414', b'>\r\n', 'sent:1-21:56:14.213918*')
('21:56:14.300263', b'D2-16:57:35.982959************\trssi:-39\r\n', '')
('21:56:14.485458', b'D2-16:57:36.061329************\trssi:-40\r\n', '')
('21:56:14.486033', b'>\r\n', 'sent:1-21:56:14.485538*')
('21:56:14.568097', b'>\r\n', 'sent:1-21:56:14.486091*')
('21:56:14.650855', b'>\r\n', 'sent:1-21:56:14.568181*')
('21:56:14.732368', b'>\r\n', 'sent:1-21:56:14.650939*')
('21:56:15.061467', b'D2-16:57:36.529972************\trssi:-44\r\n', '')
('21:56:15.062043', b'>\r\n', 'sent:1-21:56:15.061546*')
('21:56:15.146671', b'D2-16:57:36.811156************\trssi:-45\r\n', '')
('21:56:15.202954', b'>\r\n', 'sent:1-21:56:15.146743*')
('21:56:15.289610', b'D2-16:57:36.951714************\trssi:-42\r\n', '')
('21:56:15.345842', b'>\r\n', 'sent:1-21:56:15.289684*')
('21:56:15.368450', b'>\r\n', 'sent:1-21:56:15.345926*')
('21:56:15.509971', b'>\r\n', 'sent:1-21:56:15.368533*')
('21:56:15.599261', b'D2-16:57:37.248543************\trssi:-50\r\n', '')
('21:56:15.602438', b'D2-16:57:37.248543************\trssi:-56\r\n', '')
('21:56:15.605583', b'D2-16:57:37.264176************\trssi:-59\r\n', '')
('21:56:15.606150', b'>\r\n', 'sent:1-21:56:15.605652*')
('21:56:15.757148', b'D2-16:57:37.295127************\trssi:-50\r\n', '')
('21:56:15.760327', b'D2-16:57:37.436012************\trssi:-51\r\n', '')
('21:56:15.873481', b'>\r\n', 'sent:1-21:56:15.760382*')
('21:56:15.956189', b'>\r\n', 'sent:1-21:56:15.873568*')
('21:56:16.037786', b'>\r\n', 'sent:1-21:56:15.956270*')
('21:56:16.180471', b'>\r\n', 'sent:1-21:56:16.037872*')
