(14:46:27.72416600, '1-2836***********')
(14:46:27.81792800, '1-2837***********')
(14:46:28.64556400, '1-2853***********')
(14:46:30.31730900, '1-2880***********')
(14:46:30.80331200, '1-2889***********')
(14:46:30.89731700, '1-2890***********')
(14:46:30.99106000, '1-2892***********')
(14:46:31.17850700, '1-2895***********')
(14:46:31.81897200, '1-2901***********')
(14:46:31.86558400, '1-2903***********')
(14:46:32.39698000, '1-2907***********')
(14:46:32.39698000, '1-2908***********')
(14:46:32.82834500, '1-2915***********')
(14:46:33.50599700, '1-2922***********')
(14:46:34.00586700, '1-2928***********')
(14:46:34.13085000, '1-2931***********')
(14:46:34.69508300, '1-2940***********')
(14:46:35.56960600, '1-2950***********')
(14:46:35.88220600, '1-2952***********')
(14:46:35.88220600, '1-2953***********')
(14:46:36.27286000, '1-2961***********')
(14:46:36.36658800, '1-2962***********')
(14:46:36.67899700, '1-2967***********')
(14:46:36.80393900, '1-2968***********')
(14:46:36.80393900, '1-2969***********')
(14:46:37.02268300, '1-2972***********')
(14:46:37.02268300, '1-2971***********')
(14:46:37.19450200, '1-2975***********')
(14:46:37.60067100, '1-2982***********')
(14:46:38.63165600, '1-2990***********')
(14:46:39.05336100, '1-2996***********')
(14:46:39.46157400, '1-2999***********')
(14:46:40.03956300, '1-3005***********')
(14:46:40.03956300, '1-3006***********')
(14:46:40.41423200, '1-3009***********')
(14:46:40.66424900, '1-3015***********')
(14:46:40.97658800, '1-3019***********')
(14:46:41.03917200, '1-3020***********')
(14:46:41.30462900, '1-3023***********')
(14:46:41.36711500, '1-3025***********')
(14:46:41.58581900, '1-3030***********')
(14:46:41.58581900, '1-3031***********')
(14:46:42.49185200, '1-3037***********')
(14:46:42.69515300, '1-3041***********')
(14:46:43.05447200, '1-3051***********')
(14:46:43.55620400, '1-3056***********')
(14:46:43.71239600, '1-3061***********')
(14:46:44.36823700, '1-3069***********')
(14:46:44.43080000, '1-3071***********')
(14:46:44.43080000, '1-3072***********')
(14:46:45.24330900, '1-3079***********')
(14:46:46.07032800, '1-3092***********')
(14:46:46.07032800, '1-3093***********')
(14:46:46.13297500, '1-3094***********')
(14:46:46.28916700, '1-3097***********')
(14:46:46.60132200, '1-3100***********')
(14:46:46.66409700, '1-3101***********')
(14:46:46.66409700, '1-3102***********')
(14:46:47.69509500, '1-3112***********')
(14:46:48.38217300, '1-3123***********')
(14:46:48.67923000, '1-3126***********')
(14:46:48.69457900, '1-3127***********')
(14:46:49.11664900, '1-3133***********')
(14:46:49.30409900, '1-3136***********')
(14:46:49.75903400, '1-3138***********')
(14:46:50.07141000, '1-3147***********')
(14:46:50.41515200, '1-3151***********')
(14:46:50.60247700, '1-3155***********')
(14:46:51.22743000, '1-3160***********')
(14:46:52.05538900, '1-3170***********')
(14:46:52.43029100, '1-3174***********')
(14:46:52.43029100, '1-3175***********')
(14:46:52.54400400, '1-3176***********')
(14:46:53.51250800, '1-3183***********')
(14:46:53.51250800, '1-3184***********')
(14:46:54.57193600, '1-3197***********')
(14:46:54.72813300, '1-3200***********')
(14:46:54.90725500, '1-3203***********')
(14:46:55.67784500, '1-3214***********')
(14:46:55.74063000, '1-3217***********')
(14:46:56.14165000, '1-3222***********')
(14:46:56.24193200, '1-3224***********')
(14:46:56.35770500, '1-3226***********')
(14:46:56.84259400, '1-3232***********')
(14:46:57.05872200, '1-3234***********')
(14:46:57.05872200, '1-3235***********')
(14:46:57.31289400, '1-3238***********')
(14:46:57.31289400, '1-3239***********')
(14:46:57.42835800, '1-3243***********')
(14:46:57.69772900, '1-3246***********')
(14:46:58.77817800, '1-3258***********')
(14:46:58.90004900, '1-3262***********')
(14:46:59.21611900, '1-3269***********')
(14:46:59.34759300, '1-3273***********')
(14:46:59.66418600, '1-3277***********')
(14:47:0.00249400, '1-3282***********')
(14:47:0.09649900, '1-3284***********')
(14:47:0.10250500, '1-3285***********')
(14:47:0.83602500, '1-3295***********')
(14:47:1.26838200, '1-3300***********')
(14:47:1.75432900, '1-3307***********')
(14:47:1.76966800, '1-3308***********')
(14:47:2.22446800, '1-3320***********')
(14:47:2.28696700, '1-3322***********')
(14:47:2.28696700, '1-3323***********')
