(14:15:38.22363100, '2-6326***********')
(14:15:39.03594600, '2-6332***********')
(14:15:39.48896800, '2-6337***********')
(14:15:40.16066900, '2-6339***********')
(14:15:40.69181900, '2-6347***********')
(14:15:40.69181900, '2-6348***********')
(14:15:41.06674700, '2-6353***********')
(14:15:43.11510400, '2-6369***********')
(14:15:43.80245600, '2-6375***********')
(14:15:43.86494300, '2-6376***********')
(14:15:44.27110900, '2-6381***********')
(14:15:44.39607100, '2-6385***********')
(14:15:45.30211400, '2-6395***********')
(14:15:46.91278400, '2-6412***********')
(14:15:46.91278400, '2-6413***********')
(14:15:47.02238400, '2-6415***********')
(14:15:49.28749100, '2-6441***********')
(14:15:49.38122000, '2-6442***********')
(14:15:49.83415900, '2-6448***********')
(14:15:49.83415900, '2-6449***********')
(14:15:50.59968900, '2-6459***********')
