('14:27:54.187891', b'>\r\n', 'sent:2-14:27:53.672399*')
('14:27:54.578441', b'>\r\n', 'sent:2-14:27:54.187891*')
('14:27:54.781508', b'>\r\n', 'sent:2-14:27:54.578441*')
('14:27:54.859607', b'>\r\n', 'sent:2-14:27:54.781508*')
('14:27:54.937735', b'>\r\n', 'sent:2-14:27:54.859607*')
('14:27:55.758352', b'>\r\n', 'sent:2-14:27:54.937735*')
('14:27:56.336341', b'>\r\n', 'sent:2-14:27:55.758352*')
('14:27:56.476915', b'>\r\n', 'sent:2-14:27:56.336341*')
('14:27:56.555029', b'>\r\n', 'sent:2-14:27:56.476915*')
('14:27:56.632855', b'>\r\n', 'sent:2-14:27:56.555029*')
('14:27:56.789070', b'>\r\n', 'sent:2-14:27:56.632855*')
('14:27:57.289250', b'>\r\n', 'sent:2-14:27:56.789070*')
('14:27:57.617245', b'>\r\n', 'sent:2-14:27:57.289250*')
('14:27:57.757875', b'>\r\n', 'sent:2-14:27:57.617245*')
('14:27:57.789120', b'>\r\n', 'sent:2-14:27:57.757875*')
('14:27:58.116993', b'>\r\n', 'sent:2-14:27:57.789120*')
('14:27:58.991969', b'>\r\n', 'sent:2-14:27:58.116993*')
('14:27:59.195054', b'>\r\n', 'sent:2-14:27:58.991969*')
('14:27:59.398130', b'>\r\n', 'sent:2-14:27:59.195054*')
('14:27:59.976125', b'>\r\n', 'sent:2-14:27:59.398130*')
('14:28:00.304179', b'>\r\n', 'sent:2-14:27:59.976125*')
('14:28:00.804057', b'>\r\n', 'sent:2-14:28:00.304179*')
('14:28:01.022774', b'>\r\n', 'sent:2-14:28:00.804057*')
('14:28:01.038393', b'>\r\n', 'sent:2-14:28:01.022774*')
('14:28:01.241397', b'>\r\n', 'sent:2-14:28:01.038393*')
('14:28:01.272422', b'>\r\n', 'sent:2-14:28:01.241397*')
('14:28:02.321336', b'>\r\n', 'sent:2-14:28:01.272422*')
('14:28:02.477521', b'>\r\n', 'sent:2-14:28:02.321336*')
('14:28:02.493148', b'>\r\n', 'sent:2-14:28:02.477521*')
('14:28:02.508787', b'>\r\n', 'sent:2-14:28:02.493148*')
('14:28:02.711803', b'>\r\n', 'sent:2-14:28:02.508787*')
('14:28:02.868060', b'>\r\n', 'sent:2-14:28:02.711803*')
('14:28:02.883673', b'>\r\n', 'sent:2-14:28:02.868060*')
('14:28:03.211732', b'>\r\n', 'sent:2-14:28:02.883673*')
('14:28:04.461453', b'>\r\n', 'sent:2-14:28:03.211732*')
('14:28:04.477072', b'>\r\n', 'sent:2-14:28:04.461453*')
('14:28:04.805122', b'>\r\n', 'sent:2-14:28:04.477072*')
('14:28:04.836230', b'>\r\n', 'sent:2-14:28:04.805122*')
('14:28:04.914441', b'>\r\n', 'sent:2-14:28:04.836230*')
('14:28:04.992596', b'>\r\n', 'sent:2-14:28:04.914441*')
('14:28:05.320649', b'>\r\n', 'sent:2-14:28:04.992596*')
('14:28:05.523724', b'>\r\n', 'sent:2-14:28:05.320649*')
('14:28:05.726780', b'>\r\n', 'sent:2-14:28:05.523724*')
('14:28:06.242298', b'>\r\n', 'sent:2-14:28:05.726780*')
('14:28:06.320423', b'>\r\n', 'sent:2-14:28:06.242298*')
('14:28:06.351443', b'>\r\n', 'sent:2-14:28:06.320423*')
('14:28:06.726575', b'>\r\n', 'sent:2-14:28:06.351443*')
('14:28:06.820306', b'>\r\n', 'sent:2-14:28:06.726575*')
('14:28:07.320177', b'>\r\n', 'sent:2-14:28:06.820306*')
('14:28:07.476406', b'>\r\n', 'sent:2-14:28:07.320177*')
('14:28:07.915477', b'>\r\n', 'sent:2-14:28:07.476406*')
('14:28:08.180804', b'>\r\n', 'sent:2-14:28:07.915477*')
('14:28:08.571611', b'>\r\n', 'sent:2-14:28:08.180804*')
('14:28:08.774712', b'>\r\n', 'sent:2-14:28:08.571611*')
('14:28:08.805939', b'>\r\n', 'sent:2-14:28:08.774712*')
('14:28:09.009008', b'>\r\n', 'sent:2-14:28:08.805939*')
('14:28:09.024654', b'>\r\n', 'sent:2-14:28:09.009008*')
('14:28:09.040265', b'>\r\n', 'sent:2-14:28:09.024654*')
('14:28:09.071519', b'>\r\n', 'sent:2-14:28:09.040265*')
('14:28:09.696380', b'>\r\n', 'sent:2-14:28:09.071519*')
('14:28:10.024429', b'>\r\n', 'sent:2-14:28:09.696380*')
('14:28:10.164935', b'>\r\n', 'sent:2-14:28:10.024429*')
('14:28:10.383726', b'>\r\n', 'sent:2-14:28:10.164935*')
('14:28:10.586803', b'>\r\n', 'sent:2-14:28:10.383726*')
('14:28:10.602424', b'>\r\n', 'sent:2-14:28:10.586803*')
('14:28:10.867972', b'>\r\n', 'sent:2-14:28:10.602424*')
('14:28:10.899194', b'>\r\n', 'sent:2-14:28:10.867972*')
('14:28:10.914779', b'>\r\n', 'sent:2-14:28:10.899194*')
('14:28:11.055447', b'>\r\n', 'sent:2-14:28:10.914779*')
('14:28:11.086393', b'>\r\n', 'sent:2-14:28:11.055447*')
('14:28:11.102298', b'>\r\n', 'sent:2-14:28:11.086393*')
('14:28:11.430086', b'>\r\n', 'sent:2-14:28:11.102298*')
('14:28:11.445965', b'>\r\n', 'sent:2-14:28:11.430086*')
('14:28:11.836514', b'>\r\n', 'sent:2-14:28:11.445965*')
('14:28:12.099388', b'>\r\n', 'sent:2-14:28:11.836514*')
('14:28:12.130719', b'>\r\n', 'sent:2-14:28:12.099388*')
('14:28:12.208915', b'>\r\n', 'sent:2-14:28:12.130719*')
('14:28:12.599465', b'>\r\n', 'sent:2-14:28:12.208915*')
('14:28:12.677536', b'>\r\n', 'sent:2-14:28:12.599465*')
('14:28:12.880365', b'>\r\n', 'sent:2-14:28:12.677536*')
('14:28:13.021238', b'>\r\n', 'sent:2-14:28:12.880365*')
