(11:29:4.83502800, '2-5278***********')
(11:29:4.83502800, '2-5279***********')
(11:29:5.53870600, '2-5286***********')
(11:29:5.66373800, '2-5288***********')
(11:29:9.33607500, '2-5328***********')
(11:29:11.16470500, '2-5348***********')
(11:29:11.16470500, '2-5349***********')
(11:29:11.57078400, '2-5352***********')
(11:29:11.89891400, '2-5357***********')
(11:29:12.14885100, '2-5360***********')
(11:29:12.49251300, '2-5365***********')
(11:29:13.77348400, '2-5376***********')
(11:29:15.30615000, '2-5393***********')
(11:29:15.49353400, '2-5396***********')
(11:29:16.32928800, '2-5408***********')
(11:29:17.90729800, '2-5422***********')
(11:29:17.90729800, '2-5423***********')
(11:29:20.29987300, '2-5434***********')
(11:29:21.03449100, '2-5444***********')
(11:29:21.03449100, '2-5443***********')
(11:29:22.53387400, '2-5457***********')
(11:29:23.89148100, '2-5476***********')
(11:29:23.89148100, '2-5475***********')
(11:29:26.50432700, '2-5502***********')
(11:29:27.20474600, '2-5511***********')
(11:29:28.15773500, '2-5519***********')
(11:29:28.78251600, '2-5527***********')
(11:29:28.84492300, '2-5529***********')
(11:29:28.84492300, '2-5528***********')
(11:29:32.58978400, '2-5572***********')
(11:29:32.58978400, '2-5573***********')
(11:29:33.29114200, '2-5579***********')
(11:29:33.83003000, '2-5585***********')
(11:29:34.26276400, '2-5589***********')
(11:29:35.47850600, '2-5606***********')
(11:29:35.47850600, '2-5607***********')
(11:29:36.30968400, '2-5616***********')
(11:29:39.88973500, '2-5648***********')
(11:29:41.05468500, '2-5659***********')
(11:29:42.39778900, '2-5674***********')
(11:29:42.46029700, '2-5675***********')
(11:29:49.04696600, '2-5732***********')
(11:29:49.04696600, '2-5733***********')
(11:29:50.32818300, '2-5743***********')
(11:29:50.39064300, '2-5744***********')
(11:29:50.39064300, '2-5745***********')
(11:29:53.95356600, '2-5776***********')
(11:29:55.67207300, '2-5795***********')
(11:29:55.67207300, '2-5796***********')
(11:29:55.98451500, '2-5804***********')
(11:29:56.06234700, '2-5806***********')
(11:29:56.06234700, '2-5805***********')
(11:30:5.73801600, '2-5893***********')
(11:30:5.95648600, '2-5894***********')
(11:30:7.04997700, '2-5903***********')
(11:30:7.56550000, '2-5908***********')
(11:30:8.70562200, '2-5922***********')
(11:30:8.89497500, '2-5925***********')
(11:30:9.53551800, '2-5934***********')
(11:30:10.90606700, '2-5945***********')
(11:30:11.81196900, '2-5954***********')
(11:30:16.42286800, '2-5988***********')
(11:30:18.37739100, '2-6013***********')
(11:30:18.43971200, '2-6015***********')
(11:30:19.00227000, '2-6023***********')
(11:30:20.80354200, '2-6041***********')
(11:30:24.13212900, '2-6078***********')
(11:30:24.13212900, '2-6079***********')
(11:30:27.36157500, '2-6103***********')
(11:30:27.36157500, '2-6104***********')
(11:30:30.17533300, '2-6136***********')
(11:30:30.82316900, '2-6146***********')
(11:30:34.81467600, '2-6187***********')
(11:30:36.48867700, '2-6208***********')
(11:30:37.64437900, '2-6220***********')
(11:30:40.66098500, '2-6252***********')
(11:30:43.47278800, '2-6271***********')
(11:30:44.03757000, '2-6279***********')
(11:30:46.33419700, '2-6305***********')
(11:30:47.44332400, '2-6317***********')
(11:30:51.88416300, '2-6358***********')
(11:30:55.52631300, '2-6391***********')
(11:30:55.52631300, '2-6392***********')
(11:30:55.61992700, '2-6395***********')
(11:30:57.10401000, '2-6412***********')
(11:31:0.62074400, '2-6446***********')
(11:31:2.55757300, '2-6463***********')
(11:31:4.27784500, '2-6472***********')
(11:31:6.65389000, '2-6492***********')
(11:31:6.65389000, '2-6493***********')
(11:31:7.46621100, '2-6498***********')
(11:31:8.35667500, '2-6508***********')
(11:31:8.35667500, '2-6509***********')
(11:31:11.90446000, '2-6545***********')
(11:31:12.00375900, '2-6549***********')
(11:31:13.29095100, '2-6559***********')
(11:31:18.05727800, '2-6604***********')
(11:31:18.11974900, '2-6605***********')
(11:31:18.35768900, '2-6609***********')
(11:31:18.35768900, '2-6610***********')
(11:31:18.52047100, '2-6613***********')
(11:31:22.10230000, '2-6645***********')
(11:31:22.10230000, '2-6646***********')
(11:31:23.63540800, '2-6664***********')
(11:31:24.74478700, '2-6673***********')
(11:31:24.90094700, '2-6676***********')
(11:31:28.68264600, '2-6712***********')
(11:31:30.27578300, '2-6725***********')
(11:31:31.96558300, '2-6741***********')
(11:31:37.13900900, '2-6784***********')
(11:31:37.13900900, '2-6785***********')
(11:31:37.60766300, '2-6790***********')
(11:31:37.67013900, '2-6791***********')
(11:31:47.11030000, '2-6880***********')
(11:31:47.31338100, '2-6883***********')
(11:31:47.31338100, '2-6884***********')
(11:31:48.12569900, '2-6899***********')
(11:31:48.18798800, '2-6900***********')
(11:31:48.35972300, '2-6903***********')
(11:31:49.82995300, '2-6910***********')
(11:31:50.33011100, '2-6916***********')
(11:31:52.64316600, '2-6932***********')
(11:31:57.39281900, '2-6978***********')
(11:31:57.45557700, '2-6980***********')
(11:31:57.45557700, '2-6981***********')
(11:31:57.64294800, '2-6983***********')
(11:31:58.11154800, '2-6986***********')
(11:31:58.40823500, '2-6989***********')
(11:31:58.90836700, '2-6995***********')
(11:31:59.26738500, '2-7000***********')
(11:31:59.26738500, '2-7001***********')
(11:31:59.76728800, '2-7005***********')
(11:31:59.82993800, '2-7006***********')
(11:31:59.82993800, '2-7007***********')
(11:32:0.00185600, '2-7012***********')
(11:32:0.00185600, '2-7013***********')
(11:32:0.89424900, '2-7020***********')
(11:32:3.76502000, '2-7051***********')
(11:32:9.58434500, '2-7104***********')
(11:32:9.58434500, '2-7105***********')
(11:32:10.27196200, '2-7109***********')
(11:32:10.76679800, '2-7113***********')
(11:32:10.76679800, '2-7114***********')
(11:32:12.25084800, '2-7132***********')
(11:32:14.15782300, '2-7144***********')
(11:32:14.45490700, '2-7147***********')
(11:32:15.04853700, '2-7153***********')
(11:32:16.60132500, '2-7168***********')
(11:32:17.04872800, '2-7172***********')
(11:32:17.42335400, '2-7175***********')
(11:32:18.22195300, '2-7181***********')
(11:32:18.44088600, '2-7183***********')
(11:32:18.44088600, '2-7184***********')
(11:32:28.19631700, '2-7275***********')
(11:32:29.66671300, '2-7286***********')
(11:32:32.82800100, '2-7308***********')
(11:32:32.82800100, '2-7309***********')
(11:32:33.17165500, '2-7315***********')
(11:32:33.23415700, '2-7317***********')
(11:32:34.14019900, '2-7322***********')
(11:32:34.20263900, '2-7324***********')
(11:32:34.29640200, '2-7327***********')
(11:32:34.35890800, '2-7328***********')
(11:32:36.64133900, '2-7351***********')
(11:32:39.67391700, '2-7379***********')
(11:32:39.73630700, '2-7380***********')
(11:32:39.73630700, '2-7381***********')
(11:32:45.19013900, '2-7422***********')
(11:32:45.78376200, '2-7428***********')
(11:32:47.48647500, '2-7440***********')
(11:32:49.58116100, '2-7454***********')
(11:32:49.58116100, '2-7455***********')
(11:32:50.25656500, '2-7463***********')
(11:32:50.43464100, '2-7465***********')
(11:32:50.43464100, '2-7466***********')
(11:32:50.97432700, '2-7473***********')
(11:32:50.97432700, '2-7474***********')
(11:32:51.42257800, '2-7483***********')
(11:32:53.18025800, '2-7493***********')
(11:32:55.40019800, '2-7520***********')
(11:32:55.97105800, '2-7527***********')
(11:32:56.28802500, '2-7534***********')
(11:32:56.28802500, '2-7533***********')
(11:32:58.59446000, '2-7568***********')
(11:32:59.38066500, '2-7575***********')
(11:32:59.52782500, '2-7577***********')
(11:33:2.74957100, '2-7602***********')
(11:33:4.96745900, '2-7619***********')
(11:33:4.96745900, '2-7620***********')
(11:33:6.87574900, '2-7633***********')
(11:33:6.93821800, '2-7635***********')
(11:33:7.03189700, '2-7637***********')
(11:33:7.03189700, '2-7638***********')
(11:33:8.39101100, '2-7644***********')
(11:33:8.45350700, '2-7645***********')
(11:33:8.45350700, '2-7646***********')
(11:33:10.23432900, '2-7664***********')
(11:33:12.97012000, '2-7691***********')
(11:33:12.97012000, '2-7692***********')
(11:33:13.03288900, '2-7693***********')
(11:33:15.76837400, '2-7711***********')
(11:33:16.02211600, '2-7713***********')
(11:33:17.03366100, '2-7718***********')
(11:33:17.03366100, '2-7719***********')
(11:33:17.18977700, '2-7721***********')
(11:33:18.14248100, '2-7728***********')
(11:33:18.14248100, '2-7729***********')
(11:33:18.29869300, '2-7731***********')
(11:33:18.67383100, '2-7737***********')
(11:33:18.84544300, '2-7739***********')
(11:33:18.84544300, '2-7740***********')
(11:33:18.90819400, '2-7741***********')
(11:33:18.90819400, '2-7742***********')
(11:33:20.56404800, '2-7758***********')
(11:33:21.36164100, '2-7761***********')
(11:33:22.90844100, '2-7779***********')
(11:33:23.71727300, '2-7789***********')
(11:33:23.81100700, '2-7791***********')
(11:33:23.81100700, '2-7792***********')
(11:33:24.07656800, '2-7794***********')
(11:33:24.17029400, '2-7796***********')
(11:33:24.23279200, '2-7797***********')
(11:33:24.23279200, '2-7798***********')
(11:33:26.09656800, '2-7813***********')
(11:33:26.15907000, '2-7814***********')
(11:33:27.12731600, '2-7823***********')
(11:33:29.68950200, '2-7852***********')
(11:33:30.64425400, '2-7867***********')
(11:33:30.92830300, '2-7869***********')
(11:33:31.11586400, '2-7871***********')
(11:33:32.00289000, '2-7879***********')
(11:33:34.76787600, '2-7902***********')
(11:33:35.11151600, '2-7906***********')
(11:33:40.60257100, '2-7954***********')
(11:33:40.67763000, '2-7957***********')
(11:33:43.25986100, '2-7979***********')
(11:33:46.61607300, '2-7997***********')
(11:33:47.33933400, '2-8002***********')
(11:33:48.63615800, '2-8015***********')
(11:33:49.10481900, '2-8021***********')
(11:33:52.10635500, '2-8048***********')
(11:33:55.77750100, '2-8082***********')
(11:33:55.77750100, '2-8083***********')
(11:33:56.15427500, '2-8087***********')
(11:33:59.05986000, '2-8108***********')
(11:34:0.71764400, '2-8118***********')
(11:34:4.04488500, '2-8139***********')
(11:34:4.11719700, '2-8140***********')
(11:34:4.37229700, '2-8144***********')
(11:34:4.37229700, '2-8145***********')
(11:34:5.22059700, '2-8152***********')
(11:34:6.09546600, '2-8164***********')
(11:34:6.75167400, '2-8174***********')
(11:34:6.75167400, '2-8175***********')
(11:34:8.04833900, '2-8189***********')
