('10:50:06.300587', '1-652')
('10:50:06.323713', '1-653')
('10:50:06.954677', '1-654')
('10:50:06.977599', '1-655')
('10:50:07.059654', '1-656')
('10:50:07.082588', '1-657')
('10:50:07.164654', '1-658')
('10:50:07.247647', '1-659')
('10:50:07.269628', '1-660')
('10:50:07.357713', '1-661')
('10:50:07.380790', '1-662')
('10:50:07.581815', '1-663')
('10:50:07.603624', '1-664')
('10:50:07.626574', '1-665')
('10:50:07.835738', '1-666')
('10:50:07.857645', '1-667')
('10:50:07.948607', '1-668')
('10:50:08.153668', '1-669')
('10:50:08.301694', '1-670')
('10:50:08.324578', '1-671')
('10:50:08.651755', '1-672')
('10:50:08.671700', '1-673')
('10:50:08.754771', '1-674')
('10:50:08.964577', '1-675')
('10:50:09.297574', '1-676')
('10:50:09.383708', '1-677')
('10:50:09.406576', '1-678')
('10:50:09.429713', '1-679')
('10:50:09.453610', '1-680')
('10:50:09.537596', '1-681')
('10:50:10.169638', '1-682')
('10:50:10.192562', '1-683')
('10:50:10.641575', '1-684')
('10:50:10.664758', '1-685')
('10:50:10.747620', '1-686')
('10:50:10.770578', '1-687')
('10:50:10.852607', '1-688')
('10:50:10.875581', '1-689')
('10:50:10.896592', '1-690')
('10:50:11.101866', '1-691')
('10:50:11.248717', '1-692')
('10:50:11.331647', '1-693')
('10:50:11.418675', '1-694')
('10:50:11.440586', '1-695')
('10:50:11.523635', '1-696')
('10:50:11.545630', '1-697')
('10:50:11.568698', '1-698')
('10:50:11.655682', '1-699')
('10:50:11.677616', '1-700')
('10:50:11.889652', '1-701')
('10:50:11.912563', '1-702')
('10:50:11.935552', '1-703')
('10:50:12.200637', '1-704')
('10:50:12.221576', '1-705')
('10:50:12.304581', '1-706')
('10:50:12.388610', '1-707')
('10:50:12.536688', '1-708')
('10:50:12.619621', '1-709')
('10:50:12.642561', '1-710')
('10:50:12.789638', '1-711')
('10:50:12.809736', '1-712')
('10:50:12.833600', '1-713')
('10:50:12.855532', '1-714')
('10:50:12.877666', '1-715')
('10:50:12.899669', '1-716')
('10:50:13.104750', '1-717')
('10:50:13.187614', '1-718')
('10:50:13.210711', '1-719')
('10:50:13.537568', '1-720')
('10:50:13.682649', '1-721')
('10:50:14.074689', '1-722')
('10:50:14.098553', '1-723')
('10:50:14.121545', '1-724')
('10:50:14.143556', '1-725')
('10:50:14.166621', '1-726')
('10:50:14.188578', '1-727')
('10:50:14.211706', '1-728')
('10:50:14.234542', '1-729')
('10:50:14.382663', '1-730')
('10:50:14.588564', '1-731')
('10:50:14.610602', '1-732')
('10:50:14.632677', '1-733')
('10:50:15.019693', '1-734')
('10:50:15.224621', '1-735')
('10:50:15.247543', '1-736')
('10:50:15.331612', '1-737')
('10:50:15.354538', '1-738')
('10:50:15.499677', '1-739')
('10:50:15.704608', '1-740')
('10:50:15.791648', '1-741')
('10:50:15.812674', '1-742')
('10:50:15.834525', '1-743')
('10:50:16.345626', '1-744')
('10:50:16.368516', '1-745')
('10:50:16.447552', '1-746')
('10:50:16.468623', '1-747')
('10:50:16.615633', '1-748')
('10:50:16.760607', '1-749')
('10:50:16.783516', '1-750')
('10:50:16.805529', '1-751')
('10:50:16.947556', '1-752')
('10:50:17.094578', '1-753')
('10:50:17.244653', '1-754')
('10:50:17.267543', '1-755')
('10:50:17.716717', '1-756')
('10:50:17.738671', '1-757')
('10:50:17.821590', '1-758')
('10:50:17.969631', '1-759')
('10:50:17.993688', '1-760')
('10:50:18.016530', '1-761')
('10:50:18.162790', '1-762')
('10:50:18.183501', '1-763')
('10:50:18.265593', '1-764')
('10:50:18.288511', '1-765')
('10:50:18.374773', '1-766')
('10:50:18.529702', '1-767')
('10:50:18.858626', '1-768')
('10:50:18.880540', '1-769')
('10:50:18.905565', '1-770')
('10:50:18.988582', '1-771')
('10:50:19.132579', '1-772')
('10:50:19.155642', '1-773')
('10:50:19.300570', '1-774')
('10:50:19.322661', '1-775')
('10:50:19.345531', '1-776')
('10:50:19.367640', '1-777')
('10:50:19.391528', '1-778')
('10:50:20.392489', '1-779')
('10:50:20.536526', '1-780')
('10:50:20.559524', '1-781')
('10:50:20.579493', '1-782')
('10:50:20.726627', '1-783')
('10:50:20.749491', '1-784')
('10:50:20.830558', '1-785')
('10:50:21.218604', '1-786')
('10:50:21.309639', '1-787')
('10:50:21.518597', '1-788')
('10:50:21.541484', '1-789')
('10:50:21.624536', '1-790')
('10:50:21.708563', '1-791')
('10:50:21.731491', '1-792')
('10:50:21.753485', '1-793')
('10:50:21.900608', '1-794')
