('10:23:28.901664', '5-761')
('10:23:28.963868', '5-762')
('10:23:29.135978', '5-763')
('10:23:29.198190', '5-764')
('10:23:29.245330', '5-765')
('10:23:29.354403', '5-766')
('10:23:29.604347', '5-767')
('10:23:29.651212', '5-768')
('10:23:29.760707', '5-769')
('10:23:29.823316', '5-770')
('10:23:29.932636', '5-771')
('10:23:30.120031', '5-772')
('10:23:30.166717', '5-773')
('10:23:30.213582', '5-774')
('10:23:30.463540', '5-775')
('10:23:30.510399', '5-776')
('10:23:30.744990', '5-777')
('10:23:30.807205', '5-778')
('10:23:30.854128', '5-779')
('10:23:30.979065', '5-780')
('10:23:31.026066', '5-781')
('10:23:31.135540', '5-782')
('10:23:31.244872', '5-783')
('10:23:31.369705', '5-784')
('10:23:31.416707', '5-785')
('10:23:31.588564', '5-786')
('10:23:31.635406', '5-787')
('10:23:31.760102', '5-788')
('10:23:31.885074', '5-789')
('10:23:32.306875', '5-790')
('10:23:32.353899', '5-791')
('10:23:32.416202', '5-792')
('10:23:32.525552', '5-793')
('10:23:32.572653', '5-794')
('10:23:32.619301', '5-795')
('10:23:32.744391', '5-796')
('10:23:32.869224', '5-797')
('10:23:32.916148', '5-798')
('10:23:32.978611', '5-799')
('10:23:33.212894', '5-800')
('10:23:33.259953', '5-801')
('10:23:33.306865', '5-802')
('10:23:33.431622', '5-803')
('10:23:33.478740', '5-804')
('10:23:33.525616', '5-805')
('10:23:33.572188', '5-806')
('10:23:33.699611', '5-807')
('10:23:33.746499', '5-808')
('10:23:33.871729', '5-809')
('10:23:33.918312', '5-810')
('10:23:34.402853', '5-811')
('10:23:34.762129', '5-812')
('10:23:34.824638', '5-813')
('10:23:34.996190', '5-814')
('10:23:35.121161', '5-815')
('10:23:35.168106', '5-816')
('10:23:35.277669', '5-817')
('10:23:35.402367', '5-818')
('10:23:35.574459', '5-819')
('10:23:35.683809', '5-820')
('10:23:35.730630', '5-821')
('10:23:35.855664', '5-822')
('10:23:35.902232', '5-823')
('10:23:35.964904', '5-824')
('10:23:36.011860', '5-825')
('10:23:36.058724', '5-826')
('10:23:36.121098', '5-827')
('10:23:36.168075', '5-828')
('10:23:36.292767', '5-829')
('10:23:36.347104', '5-830')
('10:23:36.391120', '5-831')
('10:23:36.438235', '5-832')
('10:23:36.500443', '5-833')
('10:23:36.730417', '5-834')
('10:23:36.793084', '5-835')
('10:23:36.840043', '5-836')
('10:23:36.886907', '5-837')
('10:23:36.933513', '5-838')
('10:23:37.183624', '5-839')
('10:23:37.293072', '5-840')
('10:23:37.417939', '5-841')
('10:23:37.464882', '5-842')
('10:23:37.527105', '5-843')
('10:23:37.574226', '5-844')
('10:23:37.621119', '5-845')
('10:23:37.730425', '5-846')
('10:23:37.777343', '5-847')
('10:23:37.902069', '5-848')
('10:23:38.027029', '5-849')
('10:23:38.136636', '5-850')
('10:23:38.183496', '5-851')
('10:23:38.245690', '5-852')
('10:23:38.292644', '5-853')
('10:23:38.402193', '5-854')
('10:23:38.589388', '5-855')
('10:23:38.948840', '5-856')
('10:23:39.136110', '5-857')
('10:23:39.182976', '5-858')
('10:23:39.230044', '5-859')
('10:23:39.276839', '5-860')
('10:23:39.339467', '5-861')
('10:23:39.636060', '5-862')
('10:23:39.683135', '5-863')
('10:23:39.745348', '5-864')
('10:23:39.792233', '5-865')
('10:23:39.839118', '5-866')
('10:23:40.073424', '5-867')
('10:23:40.135966', '5-868')
('10:23:40.182956', '5-869')
('10:23:40.479697', '5-870')
('10:23:40.589092', '5-871')
('10:23:40.713939', '5-872')
('10:23:40.760986', '5-873')
