(10:48:1.06670400, '2-4990***********')
(10:48:1.15951300, '2-4992***********')
(10:48:1.16449800, '2-4993***********')
(10:48:1.38560800, '2-4994***********')
(10:48:3.31226200, '2-5011***********')
(10:48:3.31525400, '2-5012***********')
(10:48:5.12023400, '2-5027***********')
(10:48:8.07559000, '2-5053***********')
(10:48:8.90578700, '2-5060***********')
(10:48:8.90874800, '2-5061***********')
(10:48:11.04413100, '2-5078***********')
(10:48:11.04612500, '2-5079***********')
(10:48:11.86070800, '2-5082***********')
(10:48:14.50006400, '2-5103***********')
(10:48:17.60976300, '2-5129***********')
(10:48:18.09505100, '2-5132***********')
(10:48:18.09704300, '2-5133***********')
(10:48:18.70654700, '2-5138***********')
(10:48:20.22098700, '2-5146***********')
(10:48:22.17420300, '2-5158***********')
(10:48:22.84918700, '2-5165***********')
(10:48:22.85217900, '2-5166***********')
(10:48:23.47818900, '2-5170***********')
(10:48:24.98103700, '2-5185***********')
(10:48:25.07378600, '2-5186***********')
(10:48:25.07681600, '2-5187***********')
(10:48:29.12327700, '2-5211***********')
(10:48:32.81445200, '2-5241***********')
(10:48:33.29293600, '2-5247***********')
(10:48:33.95897600, '2-5251***********')
(10:48:37.27219000, '2-5279***********')
(10:48:38.97534600, '2-5290***********')
(10:48:39.50816800, '2-5294***********')
(10:48:40.91123300, '2-5301***********')
(10:48:41.61740500, '2-5309***********')
(10:48:41.62039700, '2-5310***********')
(10:48:42.84986300, '2-5323***********')
(10:48:42.85182600, '2-5324***********')
(10:48:42.91058800, '2-5325***********')
(10:48:42.91257800, '2-5326***********')
(10:48:44.53344400, '2-5341***********')
(10:48:45.65247600, '2-5348***********')
(10:48:45.65546800, '2-5349***********')
(10:48:46.58662700, '2-5355***********')
(10:48:46.58862200, '2-5356***********')
(10:48:49.82508000, '2-5377***********')
(10:48:50.75284800, '2-5384***********')
(10:48:54.73645000, '2-5416***********')
(10:48:55.82472200, '2-5429***********')
(10:48:55.88553100, '2-5430***********')
(10:48:58.98706200, '2-5456***********')
(10:49:1.83552600, '2-5471***********')
(10:49:2.54867400, '2-5477***********')
(10:49:2.83621900, '2-5480***********')
(10:49:7.47517200, '2-5508***********')
(10:49:8.12065500, '2-5513***********')
(10:49:8.67415800, '2-5521***********')
(10:49:8.73499500, '2-5522***********')
(10:49:8.73798700, '2-5523***********')
(10:49:15.15718300, '2-5573***********')
(10:49:15.16017500, '2-5574***********')
(10:49:16.48646100, '2-5583***********')
(10:49:16.48845600, '2-5584***********')
(10:49:17.33667600, '2-5595***********')
(10:49:19.55888400, '2-5612***********')
(10:49:19.56178300, '2-5613***********')
(10:49:19.78397500, '2-5617***********')
(10:49:19.78696700, '2-5618***********')
(10:49:22.24353400, '2-5643***********')
(10:49:22.24652600, '2-5644***********')
(10:49:22.52985400, '2-5646***********')
(10:49:23.27591300, '2-5652***********')
(10:49:24.04088700, '2-5661***********')
(10:49:24.04387900, '2-5662***********')
(10:49:24.62425100, '2-5670***********')
(10:49:25.79773700, '2-5680***********')
(10:49:27.15576300, '2-5690***********')
(10:49:28.68872300, '2-5702***********')
(10:49:28.88303400, '2-5704***********')
(10:49:29.07777400, '2-5706***********')
(10:49:29.08077100, '2-5707***********')
(10:49:29.57982200, '2-5711***********')
(10:49:29.70368900, '2-5713***********')
(10:49:31.73334700, '2-5728***********')
(10:49:32.79576200, '2-5735***********')
(10:49:33.11385900, '2-5738***********')
(10:49:33.11685200, '2-5739***********')
(10:49:33.69878800, '2-5743***********')
(10:49:33.78991000, '2-5745***********')
(10:49:35.47876500, '2-5760***********')
(10:49:35.48475100, '2-5761***********')
(10:49:36.33179700, '2-5767***********')
(10:49:37.20014300, '2-5772***********')
(10:49:38.85090300, '2-5785***********')
(10:49:39.03619700, '2-5788***********')
(10:49:39.40724600, '2-5793***********')
(10:49:40.24536800, '2-5799***********')
(10:49:42.63223200, '2-5822***********')
(10:49:42.78817100, '2-5824***********')
(10:49:45.21117700, '2-5839***********')
(10:49:48.56609600, '2-5862***********')
(10:49:51.09561900, '2-5885***********')
(10:49:51.57825700, '2-5890***********')
(10:49:52.02973600, '2-5894***********')
