(15:0:1.84514300, '2-2419***********')
(15:0:1.90301700, '2-2420***********')
(15:0:2.11745000, '2-2423***********')
(15:0:2.24111500, '2-2424***********')
(15:0:2.33419000, '2-2425***********')
(15:0:2.80644300, '2-2434***********')
(15:0:2.80943600, '2-2435***********')
(15:0:3.93727100, '2-2452***********')
(15:0:3.94029600, '2-2453***********')
(15:0:4.43222900, '2-2458***********')
(15:0:5.05082600, '2-2467***********')
(15:0:5.32896200, '2-2469***********')
(15:0:5.48263700, '2-2471***********')
(15:0:5.85367500, '2-2476***********')
(15:0:5.94668200, '2-2478***********')
(15:0:6.13315100, '2-2481***********')
(15:0:6.13616100, '2-2482***********')
(15:0:6.95322500, '2-2485***********')
(15:0:6.95522000, '2-2486***********')
(15:0:7.07692700, '2-2488***********')
(15:0:7.20075200, '2-2491***********')
(15:0:7.20374300, '2-2492***********')
(15:0:7.66446000, '2-2497***********')
(15:0:7.97485500, '2-2501***********')
(15:0:8.03566700, '2-2502***********')
(15:0:8.03768500, '2-2503***********')
(15:0:8.22051800, '2-2507***********')
(15:0:8.94113200, '2-2518***********')
(15:0:9.15808200, '2-2523***********')
(15:0:10.36420000, '2-2538***********')
(15:0:10.36622900, '2-2539***********')
(15:0:10.61157000, '2-2544***********')
(15:0:10.61356700, '2-2545***********')
(15:0:10.76513000, '2-2547***********')
(15:0:10.76815100, '2-2548***********')
(15:0:10.85888400, '2-2550***********')
(15:0:10.86090200, '2-2551***********')
(15:0:11.50555200, '2-2562***********')
(15:0:12.00680700, '2-2569***********')
(15:0:12.45818400, '2-2573***********')
(15:0:12.96263000, '2-2582***********')
(15:0:13.33072700, '2-2584***********')
(15:0:13.94618000, '2-2588***********')
(15:0:14.68569600, '2-2597***********')
(15:0:14.81001200, '2-2599***********')
(15:0:15.69045700, '2-2609***********')
(15:0:15.69345000, '2-2610***********')
(15:0:15.75225800, '2-2611***********')
(15:0:15.99965700, '2-2615***********')
(15:0:17.15028100, '2-2630***********')
